제품명,제조사,카테고리1,카테고리2,표준중량/규격
위즐바닐라모나카,기타제조사,과자,아이스크림,140g
위즐쿠앤크샌드,기타제조사,과자,스낵,130g
일품팥빙수,롯데웰푸드,과자,아이스크림,240g
잇츠와플바닐라,롯데웰푸드,과자,아이스크림,140g
자가비짭짤한맛,해태제과,과자,스낵,90g
자가비케첩맛,기타제조사,과자,스낵,45g
자두,해태제과,과자,젤리/캔디,130g
자두젤리,해태제과,과자,젤리/캔디,64g
자두캔디,해태제과,과자,젤리/캔디,130g
자유시간,해태제과,과자,초콜릿,36g
자유시간들,기타제조사,과자,스낵,60g
자유시간로얄밀크티맛,기타제조사,음료,음료수,30ml
자유시간미니로얄밀크티맛,기타제조사,음료,음료수,300ml
자유시간미니로열밀크티맛,기타제조사,음료,음료수,300ml
자유시간미니피스타치오&카다,해태제과,과자,초콜릿,300g
자유시간아몬드,해태제과,과자,초콜릿,36g
자유시간아몬드벌크,해태제과,과자,초콜릿,36g
자유시간쿠키앤크림,해태제과,과자,초콜릿,30g
자일리톨아이스민트,롯데웰푸드,과자,껌,100g
자일리톨알파알로에베라,롯데웰푸드,과자,껌,86g
자일리톨알파오리지널,롯데웰푸드,과자,껌,86g
자일리톨알파후레쉬,롯데웰푸드,과자,껌,86g
자일리톨애플민트,롯데웰푸드,과자,껌,100g
젓가락,공통/물류,물류소모품,소모품,1EA
제로라이스쿠키&크림바,롯데웰푸드,과자,아이스크림,80g
제로모나카,롯데웰푸드,과자,아이스크림,140g
제로미니바이츠,기타제조사,과자,아이스크림,70g
제로미니바이트,기타제조사,과자,아이스크림,380g
제로밀크모나카,기타제조사,과자,아이스크림,140g
제로시트러스유자젤리,롯데웰푸드,과자,젤리/캔디,238g
제로아이스쿠키&크림바,기타제조사,과자,아이스크림,70g
제로아이스트리플초콜릿바,기타제조사,과자,아이스크림,70g
제로초콜릿칩쿠키,롯데웰푸드,과자,비스킷/쿠키,168g
제로쿠앤크샌드,롯데웰푸드,과자,아이스크림,288g
제로후르츠젤리,롯데웰푸드,과자,젤리/캔디,238g
제주감귤,롯데칠성음료,음료,과채음료,1.5L
제주담은녹차빙수,기타제조사,과자,아이스크림,70g
조이그레인크럼블바,기타제조사,과자,아이스크림,80g
조이그릭요거트블루베리,롯데웰푸드,과자,아이스크림,85g
조이그릭요거트스트로베리,롯데웰푸드,과자,아이스크림,85g
조이망고바,롯데웰푸드,과자,아이스크림,80g
조이헤이즐넛카카오,기타제조사,과자,스낵,80g
조청유과,농심,과자,스낵,320g
졸음번쩍껌,롯데웰푸드,과자,껌,87g
죠리퐁,크라운제과,과자,스낵,74g
죠스바,롯데웰푸드,과자,아이스크림,80g
죠스바영칼로리자몽허니블랙티,롯데웰푸드,과자,아이스크림,80g
죠스바젤리,롯데웰푸드,과자,젤리/캔디,70g
죠스아이스,기타제조사,과자,아이스크림,70g
주물러콜라,롯데웰푸드,과자,아이스크림,130g
진한추어탕,기타제조사,과자,스낵,70g
진한헛개차,광동제약,음료,음료수,500ml
진홍삼골드,기타제조사,과자,스낵,100g
쫄병스낵매콤한맛,농심,과자,스낵,82g
쫄병스낵바베큐맛,농심,과자,스낵,82g
쫄병스낵안성탕면맛,농심,과자,스낵,77g
쫄병스낵짜파게티맛,농심,과자,스낵,77g
찰떡아이스,롯데웰푸드,과자,아이스크림,90g
찰떡아이스당통팥,롯데웰푸드,과자,아이스크림,90g
찰떡아이스딸기,롯데웰푸드,과자,아이스크림,80g
